StartDate,EndDate,Type,Filename,Mileage,Gain,Count,Link
2026-08-19,2026-11-30,hike,2026 - American Discovery Trail Moab to San Francisco.json,1480,80000,,https://www.youtube.com/playlist?list=PLgw5mInRAREYcdWnhWuxTsiksf4Jipjqa
2026-06-06,2026-08-12,paddle,2026 - Yukon River Source to Sea.json,2950,0,,https://www.youtube.com/playlist?list=PLgw5mInRAREaPmmb-5nBaeAv9YG6Ozat8
2026-03-15,2026-05-21,hike,2026 - Cape to Cape Track Australia.json,77,9000,,https://www.youtube.com/playlist?list=PLgw5mInRAREbR03sbQcNmPVXBfMaLv5Hz
2026-03-15,2026-05-21,hike,2026 - Bibbulmun Track.json,623,65600,,https://www.youtube.com/playlist?list=PLgw5mInRAREYmnmq0Wgr_OxnBe4TFYe6i
2025-12-20,2026-01-03,dive,2025 - Palau | Ocean Hunter 3 Liveaboard.json,0,0,45,https://www.youtube.com/playlist?list=PLgw5mInRAREYkCOBzm_7s5x8T0WEzRBI6
2025-11-16,2025-11-30,dive,2025 - Bonaire | Buddy Dive Resort.json,0,0,22,https://www.youtube.com/playlist?list=PLgw5mInRAREbziD5n0jBBsoabSAjJqY_x
2025-11-06,2025-11-15,hike,2025 - Bartram Trail+.json,118.2,26000,,https://www.youtube.com/watch?v=hisCiu9IQwk&list=PLgw5mInRAREY6P1xRzuEwjxT8lMFk6Tj5
2025-10-30,2025-11-06,hike,2025 - Foothills Trail.json,76,13800,,https://www.youtube.com/watch?v=OTzaFL09r88&list=PLgw5mInRAREYo0DLaywF7Qdw9WgoUf9eI
2025-10-09,2025-10-27,hike,2025 - Benton MacKaye Trail.json,291.4,60000,,https://www.youtube.com/watch?v=N_iHarDgwQg&list=PLgw5mInRAREYhyhN0bGB6y6LsMSAzcU1h
2025-09-11,2025-10-05,hike,2025 - Vermont Long Trail+.json,304.6,72000,,https://www.youtube.com/watch?v=v3G-WdyVieQ&list=PLgw5mInRAREbYTDyWjTSNfKNpwH925_yH
2025-08-04,2025-08-11,hike,2025 - Kibbie Cherry Lake Loop '25.json,94.7,15900,,https://www.youtube.com/playlist?list=PLgw5mInRAREaFn2LTnTXMQvO1hG9AeDdt
2025-08-14,2025-08-19,hike,2025 - Robinson Lake Loop '25.json,78.6,16600,,https://www.youtube.com/playlist?list=PLgw5mInRAREbwOuwuiFUG2UsaPySbem--
2024-12-20,2025-01-05,dive,2024 - Raja Ampat | Ilike Liveaboard.json,0,0,31,https://www.youtube.com/watch?v=KLMxCJ7FCpI&list=PLgw5mInRAREa3PU0DS-fjhZKpbvWoBgpk
2024-11-23,2024-12-01,dive,2024 - Bonaire | Buddy Dive Resort.json,0,0,,https://www.youtube.com/watch?v=gmxf8m_SGEw&list=PLgw5mInRAREaD3rixSUAL6lbGPnONTh-q
2024-03-27,2024-10-25,hike,2024 - American Discovery Trail Delaware to Moab.json,3517,125000,,https://www.youtube.com/playlist?list=PLgw5mInRAREYcdWnhWuxTsiksf4Jipjqa
2023-12-28,2024-01-06,dive,2023 - Socorro Mexico | Quino Liveaboard.json,0,0,???,https://www.youtube.com/playlist?list=PLgw5mInRAREYug0sBxNa85ZNVk6EeJztd
